Name;Overall
title.length;6,265357191
max.tag.popularity..no.java.;11,57991446
avg.tag.popularity;6,933275385
min.tag.popularity;7,779693818
java..;16,59940933
json..;0,213789557
xml..;3,847131449
stack.traces..;4,419202286
length;13,7919909
words.count;9,903705559
text.speak.count;9,773269648
urls.count;0,431754644
Coleman.Liau.Index;14,76762501
Flesch.Kincaid.Grade.Level;12,76428494
Gunning.Fog.Index;19,59386911
SMOG.Grade;14,04759797
reputation;16,36725566
intercalations;14,37290373