run;classifier;me;rmse;mae;mpe;mape
1;rf;-0,005847048;0,26761448;0,132346302;-3,169679596;11,56613149
2;rf;-0,002179913;0,25643389;0,13120908;-2,827601166;11,43932545
3;rf;-0,00591914;0,267295098;0,130954525;-3,136653363;11,50348823
4;rf;-0,003561874;0,264188432;0,132059237;-2,916930206;11,49247356
5;rf;-0,010718365;0,251229154;0,130301245;-3,447426749;11,59355683
6;rf;-0,010717152;0,208521216;0,130066889;-3,370493386;11,65538724
7;rf;-0,005771405;0,26252142;0,131659437;-3,118181032;11,49684661
8;rf;-0,007304063;0,221722993;0,129990571;-3,143516949;11,45774608
9;rf;-0,012879126;0,217676422;0,130243609;-3,639058767;11,6630803
10;rf;-0,008518306;0,203739863;0,129769966;-3,222775029;11,56778309
1;lr;0,001865009;0,265564464;0,130352339;-2,595784658;11,33437876
2;lr;0,003340155;0,279942302;0,131448859;-2,486179299;11,3459413
3;lr;-0,002265722;0,266495347;0,129339476;-2,943270774;11,4164019
4;lr;-0,002494207;0,208037568;0,12717608;-2,701224871;11,22449789
5;lr;0,000646191;0,212916789;0,128912723;-2,55358032;11,35498967
6;lr;7,47E-05;0,201651768;0,128792578;-2,516429007;11,39284007
7;lr;0,00152289;0,208413392;0,129728282;-2,480582638;11,36803342
8;lr;-0,001044728;0,24630632;0,128900684;-2,733406425;11,34387852
9;lr;-0,002286936;0,204475933;0,128026251;-2,691330305;11,37926534
10;lr;0,0009204;0,252546173;0,128731784;-2,49137374;11,27950633